QUANTITYORDERED,PRICEEACH,QTR_ID,PRODUCTLINE_Classic Cars,PRODUCTLINE_Motorcycles,PRODUCTLINE_Planes,PRODUCTLINE_Ships,PRODUCTLINE_Trains,PRODUCTLINE_Trucks and Buses,PRODUCTLINE_Vintage Cars,Cluster GMM
45.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
21.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
34.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
23.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
42.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
35.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
29.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
34.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
32.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
21.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
34.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
37.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
48.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
40.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
30.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
32.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
36.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
24.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
23.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
50.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
39.0,99.91,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
29.0,96.34,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
27.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
37.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
37.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
27.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
42.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
38.0,96.34,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
24.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
23.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
47.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
44.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
40.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
47.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
39.0,96.34,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
34.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
20.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
40.0,68.92,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
26.0,51.15,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
39.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
50.0,44.51,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
27.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
46.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
31.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
33.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
20.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
45.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
34.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
39.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
43.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
41.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
36.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
27.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
29.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
20.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
37.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
26.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
39.0,76.67,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
21.0,86.77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
66.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
56.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
46.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
49.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
32.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
44.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
45.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
39.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
49.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
27.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
30.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
25.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
22.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,64.93,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
25.0,48.05,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
26.0,75.47,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
48.0,54.68,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
39.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
34.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
32.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
64.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
19.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
31.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
22.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
26.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
20.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
21.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
28.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
48.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
28.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
26.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
32.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
44.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
30.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
38.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
40.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,61.99,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
26.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
43.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
35.0,65.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
37.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
37.0,46.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
27.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
38.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
48.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
30.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
21.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
20.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
27.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
28.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
24.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
44.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
50.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
21.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41.0,71.47,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
45.0,79.65,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
33.0,85.39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
45.0,76.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
26.0,99.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
12.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
41.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
46.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
20.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
44.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
21.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
32.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
44.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
35.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
38.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
42.0,64.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
33.0,57.22,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
48.0,52.36,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
42.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
32.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
34.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,69.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
36.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
27.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
21.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
21.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
38.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
30.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
49.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
43.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
41.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
38.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
28.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
43.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
25.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
38.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
41.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
28.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
25.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
41.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
39.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
21.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
27.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
33.0,99.21,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
29.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
49.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
49.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
20.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
39.0,63.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
40.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
49.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
21.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
50.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
20.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
38.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
35.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
40.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
28.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
25.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
36.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
43.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
32.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
46.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
48.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
43.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
24.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
26.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
30.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
24.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
55.0,100.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
22.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
49.0,78.92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
44.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
66.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
21.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
34.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
43.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
46.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
42.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
34.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
30.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
43.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
25.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
27.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
34.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27.0,54.33,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
33.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
49.0,55.34,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
40.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
37.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
47.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
45.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
37.0,99.82,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
48.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
28.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
40.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
20.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
39.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
25.0,99.82,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
29.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
22.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
22.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
47.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
45.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
29.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
35.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
46.0,83.63,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
44.0,95.93,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
34.0,96.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
35.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
25.0,72.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6
10.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
29.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
39.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
46.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
49.0,100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
50.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
43.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
38.0,100.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
20.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
